tconst,originalTitle,genres
tt10233406,Les blagues de Toto,"Comedy,Family"
tt10243676,After Blue (Paradis sale),"Fantasy,Sci-Fi"
tt10260042,Antigone,"Crime,Drama"
tt1029234,Martyrs,Horror
tt10341034,Boîte noire,"Drama,Mystery,Thriller"
tt10341040,Around the World in 80 Days,"Adventure,Animation,Comedy"
tt10345590,Comment je suis devenu super-héros,"Action,Adventure,Comedy"
tt10366514,Eiffel,"Biography,Drama,History"
tt10375106,Mandibules,"Comedy,Fantasy"
tt10404944,BAC Nord,"Action,Crime,Thriller"
tt10405142,Qu'est-ce qu'on a tous fait au Bon Dieu ?,Comedy
tt10409498,Seules les bêtes,"Crime,Drama,Mystery"
tt1043852,Lascars,"Animation,Comedy"
tt10441486,Il pleuvait des oiseaux,Drama
tt10444992,Les enfants d'Isadora,Drama
tt10457128,Été 85,"Drama,Romance"
tt10505316,Illusions perdues,"Drama,Romance"
tt10537660,Mystère à Saint-Tropez,"Comedy,Crime,Mystery"
tt10545696,Maigret,"Crime,Drama,Mystery"
tt10557524,Brutus vs César,Comedy
tt1064932,Bienvenue chez les Ch'tis,"Comedy,Romance"
tt10738536,Délicieux,"Comedy,Drama,History"
tt1075113,Ne te retourne pas,"Drama,Horror,Mystery"
tt10809590,"Benjamin Rabier, l'homme qui fait rire les animaux",Documentary
tt10944760,Titane,"Drama,Horror,Sci-Fi"
tt10945254,Opération Portugal,Comedy
tt10945274,Mystère,"Adventure,Drama,Family"
tt10951972,Arthur Rambo,Drama
tt10958282,Banlieusards,"Crime,Drama"
tt10965792,Belle fille,Comedy
tt10965850,Bruno Reidal,"Biography,Crime,Drama"
tt11013468,Chacun chez soi,Comedy
tt11013572,Docteur?,Comedy
tt11058214,Des feux dans la nuit,"Drama,History"
tt11058930,Kandisha,Horror
tt11087960,Un monde,Drama
tt11134340,Jouliks,Drama
tt11206302,30 jours max,"Action,Comedy,Crime"
tt11210390,Astérix & Obélix: L'Empire du Milieu,"Adventure,Comedy,Family"
tt1130988,JCVD,"Action,Comedy,Crime"
tt1135923,"La différence, c'est que c'est pas pareil",Comedy
tt1149361,Micmacs à tire-larigot,"Action,Comedy,Crime"
tt11508096,J'irai mourir dans les Carpates,"Comedy,Mystery,Thriller"
tt11541872,BigBug,"Comedy,Sci-Fi"
tt1160022,Rumba,"Comedy,Drama"
tt1166094,Cruising Bar 2,Comedy
tt1167638,L'immortel,"Action,Crime,Drama"
tt1167660,OSS 117: Rio ne répond plus,"Action,Adventure,Comedy"
tt1172230,Diamant 13,"Action,Crime,Thriller"
tt11729546,Hold-Up,"Documentary,Drama"
tt11734264,Sentinelle,"Action,Crime,Drama"
tt1179025,Les aventures extraordinaires d'Adèle Blanc-Sec,"Action,Adventure,Comedy"
tt1181840,Jack et la mécanique du coeur,"Adventure,Animation,Drama"
tt1182924,L'emmerdeur,Comedy
tt1193088,Le code a changé,"Comedy,Drama"
tt11934924,Une manière de vivre,Drama
tt1194242,Le vilain,"Action,Comedy,Crime"
