nconst,primaryName,knownForTitles
nm0000611,Ariana Richards,"tt0107290,tt0100814,tt0119567,tt0259685"
nm0000703,BD Wong,"tt0107290,tt4158110,tt0369610,tt0120762"
nm0001515,Joseph Mazzello,"tt0107290,tt1285016,tt0110997,tt0112757"
nm0274684,Martin Ferrero,"tt0107290,tt0093748,tt0113277,tt0102603"
nm0669629,Bob Peck,"tt0107290,tt0090424,tt0100054,tt0098350"
nm0031844,Takeshi Aono,"tt0107692,tt0928380,tt0316540,tt0247514"
nm0351338,Daisuke Gôri,"tt0107692,tt0142236,tt0457321,tt0432817"
nm0556237,Yutaka Maseba,"tt1174954,tt0107692,tt0079833,tt0347246"
nm0605252,Katsuji Mori,"tt0107692,tt0159509,tt0288933,tt0091211"
nm0619077,Ichirô Nagai,"tt0087544,tt0107692,tt0090248,tt1474276"
nm0756964,Osamu Saka,"tt0107692,tt0079833,tt0160424,tt0159883"
nm0793987,Emi Shinohara,"tt0156887,tt0107692,tt0356228,tt0103369"
nm0847388,Gara Takashima,"tt0107692,tt0131179,tt0102928,tt0160503"
nm0945290,Kôichi Yamadera,"tt0347246,tt0113568,tt0107692,tt0291350"
nm0960030,Ryûzaburô Ôtomo,"tt0107692,tt2263944,tt0155658,tt0236910"
nm1092332,David Del Rio,"tt0107692,tt2591814,tt0401233,tt0096591"
nm4395806,Akimasa Ohmori,"tt0107692,tt0104652,tt0124770,tt0988818"
nm0000158,Tom Hanks,"tt0162222,tt0094737,tt0109830,tt0107818"
nm0000398,Sally Field,"tt0109830,tt0443272,tt0098384,tt0076729"
nm0000641,Gary Sinise,"tt0109830,tt0105046,tt0112384,tt0117438"
nm0000705,Robin Wright,"tt0109830,tt0442933,tt0217869,tt0093779"
nm0000709,Robert Zemeckis,"tt0088763,tt0109830,tt0118884,tt1907668"
nm0005494,Steve Tisch,"tt0109830,tt0119925,tt0814314,tt11003218"
nm0381041,Harold G. Herthum,"tt0109830,tt0102138,tt0117918,tt0158609"
nm0402011,Michael Conner Humphreys,"tt0109830,tt1260680,tt5971586,tt0165001"
nm0446404,George Kelly,"tt0109830,tt0102138,tt0110148,tt0104987"
nm0672225,Bob Penny,"tt0095647,tt0109830,tt0104952,tt0256415"
nm0709615,John Randall,tt0109830
nm0823330,Steve Starkey,"tt0109830,tt0118884,tt0162222,tt1907668"
nm0931508,Rebecca Williams,"tt0109830,tt0403508,tt0211532,tt0094484"
nm0000093,Brad Pitt,"tt0137523,tt0356910,tt0114746,tt1210166"
nm0000104,Antonio Banderas,"tt0120746,tt1189073,tt0120657,tt0112851"
nm0000129,Tom Cruise,"tt0092099,tt0325710,tt0116695,tt0181689"
nm0000225,Christian Slater,"tt0124198,tt0108399,tt0102798,tt0115759"
nm0000379,Kirsten Dunst,"tt0145487,tt1527186,tt0110148,tt0338013"
nm0001403,Neil Jordan,"tt0104036,tt2639336,tt0411195,tt0117039"
nm0311691,David Geffen,"tt0091419,tt0425123,tt0110148,tt0096543"
nm0517512,Bellina Logan,"tt1124373,tt0110148,tt0108757,tt0098936"
nm0566114,Virginia McCollam,"tt0110148,tt1217613,tt0406816,tt1657507"
nm0566279,John McConnell,"tt3729898,tt0190590,tt1480285,tt4522400"
nm0628601,Thandiwe Newton,"tt0375679,tt0475784,tt0120755,tt0454921"
nm0781587,Mike Seelig,tt0110148
nm0941262,Stephen Woolley,"tt0104036,tt2402927,tt9051908,tt0117039"
nm0000149,Jodie Foster,"tt0102926,tt0476964,tt0075314,tt0094608"
nm0000154,Mel Gibson,"tt0112573,tt0104714,tt0118883,tt0117438"
nm0000336,James Coburn,"tt0057115,tt0054047,tt0056923,tt0074695"
nm0000445,Dan Hedaya,"tt0114814,tt0112697,tt0166924,tt0088944"
