tconst,originalTitle,genres
tt0362227,The Terminal,"Comedy,Drama,Romance"
tt0362270,The Life Aquatic with Steve Zissou,"Action,Adventure,Comedy"
tt0369339,Collateral,"Action,Crime,Drama"
tt0371746,Iron Man,"Action,Adventure,Sci-Fi"
tt0372183,The Bourne Supremacy,"Action,Mystery,Thriller"
tt0372784,Batman Begins,"Action,Crime,Drama"
tt0373889,Harry Potter and the Order of the Phoenix,"Action,Adventure,Family"
tt0381061,Casino Royale,"Action,Adventure,Thriller"
tt0381849,3:10 to Yuma,"Action,Crime,Drama"
tt0382932,Ratatouille,"Adventure,Animation,Comedy"
tt0383574,Pirates of the Caribbean: Dead Man's Chest,"Action,Adventure,Fantasy"
tt0396171,Perfume: The Story of a Murderer,"Crime,Drama,Fantasy"
tt0397535,Memoirs of a Geisha,"Drama,Romance"
tt0398286,Tangled,"Adventure,Animation,Comedy"
tt0398808,Bridge to Terabithia,"Drama,Family,Fantasy"
tt0399295,Lord of War,"Crime,Drama"
tt0407887,The Departed,"Crime,Drama,Thriller"
tt0408236,Sweeney Todd: The Demon Barber of Fleet Street,"Drama,Horror,Musical"
tt0408306,Munich,"Action,Drama,History"
tt0409459,Watchmen,"Action,Drama,Mystery"
tt0411272,L'ennemi public n°1,"Action,Biography,Crime"
tt0411477,Hellboy II: The Golden Army,"Action,Adventure,Fantasy"
tt0416449,300,"Action,Drama"
tt0417741,Harry Potter and the Half-Blood Prince,"Action,Adventure,Family"
tt0418279,Transformers,"Action,Adventure,Sci-Fi"
tt0418689,Flags of Our Fathers,"Action,Adventure,Drama"
tt0418763,Jarhead,"Biography,Drama,War"
tt0421715,The Curious Case of Benjamin Button,"Drama,Fantasy,Romance"
tt0425637,Chi bi,"Action,Adventure,Drama"
tt0431197,The Kingdom,"Action,Drama,Thriller"
tt0433035,Real Steel,"Action,Drama,Sci-Fi"
tt0434409,V for Vendetta,"Action,Drama,Sci-Fi"
tt0435761,Toy Story 3,"Adventure,Animation,Comedy"
tt0437086,Alita: Battle Angel,"Action,Adventure,Sci-Fi"
tt0440963,The Bourne Ultimatum,"Action,Mystery,Thriller"
tt0441773,Kung Fu Panda,"Action,Adventure,Animation"
tt0443272,Lincoln,"Biography,Drama,History"
tt0443706,Zodiac,"Crime,Drama,Mystery"
tt0446029,Scott Pilgrim vs. the World,"Action,Comedy,Fantasy"
tt0448115,Shazam!,"Action,Adventure,Comedy"
tt0448134,Sunshine,"Sci-Fi,Thriller"
tt0449088,Pirates of the Caribbean: At World's End,"Action,Adventure,Fantasy"
tt0450259,Blood Diamond,"Adventure,Drama,Thriller"
tt0451279,Wonder Woman,"Action,Adventure,Fantasy"
tt0453467,Deja Vu,"Action,Crime,Sci-Fi"
tt0454876,Life of Pi,"Adventure,Drama,Fantasy"
tt0454921,The Pursuit of Happyness,"Biography,Drama"
tt0455944,The Equalizer,"Action,Crime,Thriller"
tt0461770,Enchanted,"Adventure,Animation,Comedy"
tt0462322,Grindhouse,"Action,Horror,Thriller"
tt0462499,Rambo,"Action,Adventure,Thriller"
tt0462538,The Simpsons Movie,"Adventure,Animation,Comedy"
tt0468569,The Dark Knight,"Action,Crime,Drama"
tt0472062,Charlie Wilson's War,"Biography,Comedy,Drama"
tt0473705,State of Play,"Crime,Drama,Mystery"
tt0478970,Ant-Man,"Action,Comedy,Sci-Fi"
tt0480249,I Am Legend,"Action,Drama,Horror"
tt0481499,The Croods,"Adventure,Animation,Comedy"
tt0486655,Stardust,"Adventure,Family,Fantasy"
tt0499549,Avatar,"Action,Adventure,Fantasy"
tt0758774,Body of Lies,"Action,Drama,Thriller"
tt0758794,We Are Marshall,"Drama,Sport"
tt0765429,American Gangster,"Biography,Crime,Drama"
tt0765443,Eastern Promises,"Crime,Drama,Thriller"
tt0770828,Man of Steel,"Action,Adventure,Sci-Fi"
tt0780521,The Princess and the Frog,"Adventure,Animation,Comedy"
tt0790724,Jack Reacher,"Action,Mystery,Thriller"
tt0796366,Star Trek,"Action,Adventure,Sci-Fi"
tt0800369,Thor,"Action,Fantasy"
tt0814314,Seven Pounds,"Drama,Mystery,Thriller"
tt0816692,Interstellar,"Adventure,Drama,Sci-Fi"
tt0816711,World War Z,"Action,Adventure,Horror"
tt0822832,Marley & Me,"Drama,Family"
tt0822854,Shooter,"Action,Drama,Thriller"
tt0824747,Changeling,"Biography,Crime,Drama"
tt0837562,Hotel Transylvania,"Adventure,Animation,Comedy"
tt0839995,Superman II: The Richard Donner Cut,"Action,Adventure,Romance"
